country	date	public	name
AU	2012-09-02	False	Father's Day
AU	2012-09-22	False	September Equinox
AU	2012-12-21	False	December Solstice
AU	2012-12-25	True	Christmas Day
AU	2012-12-26	True	Boxing Day
AU	2013-01-01	True	New Year's Day
AU	2013-01-26	True	Australia Day
AU	2013-02-14	False	Valentine's Day
AU	2013-03-03	False	UN World Wildlife Day
AU	2013-03-17	False	Saint Patrick's Day
AU	2013-03-20	False	March Equinox
AU	2013-03-21	False	Harmony Day
AU	2013-03-21	False	National Close the Gap Day
AU	2013-03-29	True	Good Friday
AU	2013-03-31	False	Easter
AU	2013-04-01	True	Easter Monday
AU	2013-04-25	True	ANZAC Day
AU	2013-05-12	False	Mother's Day
AU	2013-06-21	False	June Solstice
AU	2013-09-01	False	Father's Day
AU	2013-09-22	False	September Equinox
AU	2013-12-21	False	December Solstice
AU	2013-12-25	True	Christmas Day
AU	2013-12-26	True	Boxing Day
AU	2014-01-01	True	New Year's Day
AU	2014-01-26	True	Australia Day
AU	2014-02-14	False	Valentine's Day
AU	2014-03-03	False	UN World Wildlife Day
AU	2014-03-17	False	Saint Patrick's Day
AU	2014-03-20	False	March Equinox
AU	2014-03-20	False	National Close the Gap Day
AU	2014-03-21	False	Harmony Day
AU	2014-04-18	True	Good Friday
AU	2014-04-20	False	Easter
AU	2014-04-21	True	Easter Monday
AU	2014-04-25	True	ANZAC Day
AU	2014-05-11	False	Mother's Day
AU	2014-06-21	False	June Solstice
AU	2014-09-07	False	Father's Day
AU	2014-09-23	False	September Equinox
AU	2014-12-21	False	December Solstice
AU	2014-12-25	True	Christmas Day
AU	2014-12-26	True	Boxing Day
CN	2004-01-01	True	New Year's Day
CN	2004-01-21	True	Chinese Lunar New Year's Eve
CN	2004-01-22	True	Chinese Lunar New Year's Day
CN	2004-01-23	True	Second Day of the Chinese Lunar New Year Golden Week
CN	2004-01-24	False	Third Day of the Chinese Lunar New Year Golden Week
CN	2004-01-25	False	Fourth Day of the Chinese Lunar New Year Golden Week
CN	2004-01-26	False	Fifth Day of the Chinese Lunar New Year Golden Week
CN	2004-01-27	False	Sixth Day of the Chinese Lunar New Year Golden Week
CN	2004-02-05	False	Latern Festival
CN	2004-02-20	False	Zhonghe Festival
CN	2004-02-21	False	Longtaitou Festival
CN	2004-03-03	False	UN World Wildlife Day
CN	2004-03-08	False	International Women's Day
CN	2004-03-12	False	Arbor Day
CN	2004-03-20	False	March Equinox
CN	2004-05-01	True	Labor Day
CN	2004-05-02	True	Second Day of the Labor Day Golden Week
CN	2004-05-03	True	Third Day of the Labor Day Golden Week
CN	2004-05-04	True	Fourth Day of the Labor Day Golden Week
CN	2004-05-04	False	Youth Day
CN	2004-05-05	False	Boys' Day
CN	2004-05-05	True	Fifth Day of the Labor Day Golden Week
CN	2004-05-06	True	Sixth Day of the Labor Day Golden Week
CN	2004-05-07	True	Seventh Day of the Labor Day Golden Week
CN	2004-05-09	False	Mother's Day
CN	2004-06-01	False	Children's Day
CN	2004-06-21	False	June Solstice
CN	2004-06-22	False	Dragon Boat Festival
CN	2004-07-01	False	CPC Founding Day
CN	2004-07-11	False	China National Maritime Day
CN	2004-08-01	False	Army Day
CN	2004-08-01	False	People's Liberation Army Day
CN	2004-08-08	False	Father's Day
CN	2004-08-22	False	Double Seven Festival
CN	2004-08-30	False	Spirit Festival
CN	2004-09-22	False	September Equinox
CN	2004-10-01	True	National Day
CN	2004-10-02	True	Second Day of the National Day Golden Week
CN	2004-10-03	True	Third Day of the National Day Golden Week
CN	2004-10-04	False	Fourth Day of the National Day Golden Week
CN	2004-10-05	False	Fifth Day of the National Day Golden Week
CN	2004-10-06	False	Sixth Day of the National Day Golden Week
CN	2004-10-07	False	Seventh Day of the National Day Golden Week
CN	2004-10-22	False	Double Ninth Festival
CN	2004-12-21	False	December Solstice
CN	2004-12-31	False	New Year's Eve
CN	2005-01-01	True	New Year's Day
CN	2005-02-08	True	Chinese Lunar New Year's Eve
CN	2005-02-09	True	Chinese Lunar New Year's Day
CN	2005-02-10	True	Second Day of the Chinese Lunar New Year Golden Week
CN	2005-02-11	False	Third Day of the Chinese Lunar New Year Golden Week
CN	2005-02-12	False	Fourth Day of the Chinese Lunar New Year Golden Week
CN	2005-02-13	False	Fifth Day of the Chinese Lunar New Year Golden Week
CN	2005-02-14	False	Sixth Day of the Chinese Lunar New Year Golden Week
CN	2005-02-23	False	Latern Festival
CN	2005-03-03	False	UN World Wildlife Day
CN	2005-03-08	False	International Women's Day
CN	2005-03-10	False	Zhonghe Festival
CN	2005-03-11	False	Longtaitou Festival
CN	2005-03-12	False	Arbor Day
CN	2005-03-20	False	March Equinox
CN	2005-05-01	True	Labor Day
CN	2005-05-02	True	Second Day of the Labor Day Golden Week
CN	2005-05-03	True	Third Day of the Labor Day Golden Week
CN	2005-05-04	True	Fourth Day of the Labor Day Golden Week
CN	2005-05-04	False	Youth Day
CN	2005-05-05	False	Boys' Day
CN	2005-05-05	True	Fifth Day of the Labor Day Golden Week
CN	2005-05-06	True	Sixth Day of the Labor Day Golden Week
CN	2005-05-07	True	Seventh Day of the Labor Day Golden Week
CN	2005-05-08	False	Mother's Day
CN	2005-06-01	False	Children's Day
CN	2005-06-11	False	Dragon Boat Festival
CN	2005-06-21	False	June Solstice
CN	2005-07-01	False	CPC Founding Day
CN	2005-07-11	False	China National Maritime Day
CN	2005-08-01	False	Army Day
CN	2005-08-01	False	People's Liberation Army Day
CN	2005-08-08	False	Father's Day
CN	2005-08-11	False	Double Seven Festival
CN	2005-08-19	False	Spirit Festival
CN	2005-09-22	False	September Equinox
CN	2005-10-01	True	National Day
CN	2005-10-02	True	Second Day of the National Day Golden Week
CN	2005-10-03	True	Third Day of the National Day Golden Week
CN	2005-10-04	False	Fourth Day of the National Day Golden Week
CN	2005-10-05	False	Fifth Day of the National Day Golden Week
CN	2005-10-06	False	Sixth Day of the National Day Golden Week
CN	2005-10-07	False	Seventh Day of the National Day Golden Week
CN	2005-10-11	False	Double Ninth Festival
CN	2005-12-21	False	December Solstice
CN	2005-12-31	False	New Year's Eve
CN	2006-01-01	True	New Year's Day
CN	2006-01-28	True	Chinese Lunar New Year's Eve
CN	2006-01-29	True	Chinese Lunar New Year's Day
CN	2006-01-30	True	Second Day of the Chinese Lunar New Year Golden Week
CN	2006-01-31	False	Third Day of the Chinese Lunar New Year Golden Week
CN	2006-02-01	False	Fourth Day of the Chinese Lunar New Year Golden Week
CN	2006-02-02	False	Fifth Day of the Chinese Lunar New Year Golden Week
CN	2006-02-03	False	Sixth Day of the Chinese Lunar New Year Golden Week
CN	2006-02-12	False	Latern Festival
CN	2006-02-28	False	Zhonghe Festival
CN	2006-03-01	False	Longtaitou Festival
CN	2006-03-03	False	UN World Wildlife Day
CN	2006-03-08	False	International Women's Day
CN	2006-03-12	False	Arbor Day
CN	2006-03-20	False	March Equinox
CN	2006-05-01	True	Labor Day
CN	2006-05-02	True	Second Day of the Labor Day Golden Week
CN	2006-05-03	True	Third Day of the Labor Day Golden Week
CN	2006-05-04	True	Fourth Day of the Labor Day Golden Week
CN	2006-05-04	False	Youth Day
CN	2006-05-05	False	Boys' Day
CN	2006-05-05	True	Fifth Day of the Labor Day Golden Week
CN	2006-05-06	True	Sixth Day of the Labor Day Golden Week
CN	2006-05-07	True	Seventh Day of the Labor Day Golden Week
CN	2006-05-14	False	Mother's Day
CN	2006-05-31	False	Dragon Boat Festival
CN	2006-06-01	False	Children's Day
CN	2006-06-21	False	June Solstice
CN	2006-07-01	False	CPC Founding Day
CN	2006-07-11	False	China National Maritime Day
CN	2006-07-31	False	Double Seven Festival
CN	2006-08-01	False	Army Day
CN	2006-08-01	False	People's Liberation Army Day
CN	2006-08-08	False	Father's Day
CN	2006-08-08	False	Spirit Festival
CN	2006-09-23	False	September Equinox
CN	2006-10-01	True	National Day
CN	2006-10-02	True	Second Day of the National Day Golden Week
CN	2006-10-03	True	Third Day of the National Day Golden Week
CN	2006-10-04	False	Fourth Day of the National Day Golden Week
CN	2006-10-05	False	Fifth Day of the National Day Golden Week
CN	2006-10-06	False	Sixth Day of the National Day Golden Week
CN	2006-10-07	False	Seventh Day of the National Day Golden Week
CN	2006-10-30	False	Double Ninth Festival
CN	2006-12-22	False	December Solstice
CN	2006-12-31	False	New Year's Eve
CN	2007-01-01	True	New Year's Day
CN	2007-02-17	True	Chinese Lunar New Year's Eve
CN	2007-02-18	True	Chinese Lunar New Year's Day
